cedula;nombre;clave;antiguedad_meses;calificacion;alojamientos
100000038;Pedro;dVD1rjMZJR;51;0.9;1016,1038,1102
100000039;Carlos;VLuQZlwTSt;32;1.2;1165,1050
100000040;Camilo;PmWNB6v8HY;33;4.8;1168,1234,1049
100000041;Paula;RBt4QNCNMA;19;2.6;1184,1026,1062
100000042;Maria;IHAQZ0vkEZ;44;3.9;1170,1164
100000043;Diego;nJy6YvlUOw;46;3.0;1219,1142,1070
100000044;Diego;QuDBmMTP60;34;3.9;1221,1109,1116
100000045;Natalia;UcwNIQ0S40;42;1.7;1181
100000046;Pedro;3yRCwNGELL;5;2.8;1093,1225,1210
100000047;Daniela;0NDbvGf1wy;32;2.1;1064
100000048;Laura;y1Cepou44Q;8;2.4;1136,1051,1002
100000049;Ana;uKtF75tP1p;25;2.5;1076
100000050;Ana;8osT5ZmhMF;45;3.7;1168,1189,1073
100000051;Esteban;Ajl1s9lbMt;45;4.3;1217
100000052;Esteban;RaT0bKjgWo;9;1.7;1199
100000053;Felipe;WLYx6HaYQJ;14;3.8;1030,1213
100000054;Esteban;F3Z0i4W3RA;24;2.2;1009,1101,1023
100000055;Pedro;Oh6M8GRIB4;58;3.7;1152,1103,1182
100000056;Sebastian;1OaZPg8mBZ;20;3.8;1019
100000057;Felipe;nQuY9QByO7;52;1.7;1100
100000058;Diego;j4NSAL3Ep2;20;4.3;1005,1127
100000059;Daniela;140HlG2Bkj;59;2.2;1079
100000060;Maria;3txgJHrbAy;46;0.4;1158
100000061;Maria;znMWw1RkAe;18;0.4;1012,1082,1134
100000062;Andres;5G3yASmgfu;19;4.8;1133,1174
100000063;Daniela;TZo3AKyLwa;19;4.8;1052,1181,1131
100000064;Felipe;c2SMfyTz1Z;7;3.7;1211
100000065;Sebastian;d8VVuSJkTw;60;2.2;1001,1046,1162
100000066;Laura;52xt1MzivM;6;3.4;1187,1003,1080
100000067;Luisa;Si7hJh6IOh;33;3.5;1244
100000068;Laura;B2ibhCZISH;38;1.5;1039,1043
100000069;Daniela;kdaXO4odZB;31;3.9;1155
100000070;Ana;IFC9nAOkQ4;21;4.6;1000,1128,1148
100000071;Laura;OOMfG0doMf;54;4.1;1181,1236,1010
100000072;Juan;sDwLPgqXe8;13;2.5;1068,1170,1115
100000073;Diego;94fbZjnW24;29;4.7;1052
100000074;Felipe;nui2IRUiiR;31;1.9;1136,1109
100000075;Jorge;vKo3foZfJd;40;1.4;1027
100000076;Pedro;o8doWuboHy;56;2.0;1038,1162,1126
100000077;Pedro;fDi9cJLBfr;10;0.4;1020
100000078;Luis;8XDf1kxKcw;41;3.1;1077,1088
100000079;Pedro;2iM9rNZpiG;39;3.2;1155
100000080;Sofia;OaEm9weAnF;10;4.9;1114,1047
100000081;Sebastian;50LBbRIftP;8;4.0;1190
100000082;Sofia;8YC0GxBp4V;6;0.7;1007,1089
100000083;Valentina;CWFuCtQYiw;58;3.4;1000,1181
100000084;Luisa;gxrV3B2znD;8;1.7;1011,1117
100000085;Sebastian;07DOcxZL7w;3;4.8;1159,1152
100000086;Laura;tZc7ocrHjg;19;3.0;1114,1128,1092
100000087;Jorge;VcgSwyFfxz;26;3.2;1102,1089,1072
100000088;Paula;WCV2ZH1Vv5;10;3.4;1147,1012,1111
100000089;Paula;0wb8eOtdJQ;42;2.9;1051,1213
100000090;Paula;1Jqkmo9dIh;46;4.6;1002,1052,1187
100000091;Paula;qQgcUACYWz;55;2.4;1200
100000092;Esteban;KuUT1aQ50d;48;3.8;1147,1242
100000093;Maria;TUXzuMbnmw;60;2.4;1247,1017,1233
100000094;Esteban;2BcruG8CwK;38;3.4;1237,1074
100000095;Natalia;lzThjTQG8A;22;3.6;1005,1038
100000096;Paula;ybBdJbKJmF;35;0.0;1130,1008,1190
100000097;Paula;iHOM9ZWBtO;34;3.6;1195
100000098;Valentina;ssTWA3mloh;51;3.9;1181,1043,1168
100000099;Luisa;QnO5OPaK6f;34;3.2;1063,1012
100000100;Jorge;8a6YFcs3ui;40;4.4;1178,1177,1122
100000101;Paula;Yo1DtTMdjh;19;0.4;1141,1202,1249
100000102;Andres;OWsD50xnHn;59;4.9;1162
100000103;Sebastian;OMBXSCmcQd;30;0.4;1103
100000104;Luis;aGNjDNUy8Y;22;1.6;1121,1225,1086
100000105;Sebastian;ux5ctIBcCh;40;3.4;1249,1179,1015
100000106;Luis;T7YSJi6EFH;17;5.0;1155,1120
100000107;Luisa;5CKg7zQJOg;32;4.1;1116,1039,1249
100000108;Sofia;AyXVVudCJc;7;1.1;1031
100000109;Sebastian;8w3pGLk9d7;17;4.9;1025
100000110;Pedro;4GFY1R9cq7;10;0.1;1180,1215
100000111;Jorge;P0NAlg5lRC;17;2.4;1003,1228,1102
100000112;Paula;PyhGQxd88r;4;1.0;1046,1028
100000113;Ana;h5AjOUpMBw;47;1.1;1123
100000114;Luisa;pWy7AeDWQ3;19;1.3;1089,1157,1199
100000115;Laura;drGzawqG14;9;2.2;1125,1041
100000116;Sebastian;kmqcwNuksw;36;1.4;1076
100000117;Valentina;ejsKrxl7YS;35;0.6;1221,1130,1201
100000118;Luis;olk7lGnui7;11;4.6;1002,1147,1078
100000119;Luis;0rXnt4dAPd;32;0.6;1113
100000120;Diego;loQZdtoXtJ;8;2.2;1057
100000121;Daniela;PK4Wt3eocO;50;1.0;1176,1113,1148
100000122;Esteban;QuqWGoGnEb;60;4.0;1242,1164
100000123;Luis;RCo8f8b5Fx;51;2.3;1053
100000124;Diego;xJrosrWrCq;16;4.6;1198,1020
100000125;Luisa;PdUg6qQvD9;48;5.0;1206
100000126;Ana;acuUH9kWOq;56;0.8;1243,1103,1236
100000127;Camilo;92qR4BXNJJ;3;2.8;1235,1018
100000128;Andres;bPAX9snum4;28;4.0;1199,1024,1043
100000129;Luis;aQOq9qrtj1;41;1.8;1152,1151
100000130;Laura;qGfp1qoHfa;3;3.6;1209
100000131;Andres;ippoSYeXjI;26;4.6;1110
100000132;Felipe;NJrR8RqUoI;35;3.6;1115,1114
100000133;Daniela;SoVqQq7b1q;12;0.4;1146,1243,1097
100000134;Daniela;cETqoE5bJX;32;0.9;1204,1099,1055
100000135;Paula;79f2Uzid4i;21;0.5;1237
100000136;Diego;mJ3LYLMw6v;30;0.6;1120
100000137;Felipe;GVfz2uiVHH;37;3.1;1039
100000138;Diego;OsuaEaIH4K;8;4.6;1245,1056
100000139;Diego;ho1eIld4Yq;5;1.8;1059,1060,1134
100000140;Daniela;XDrg1R7eKi;56;2.0;1059,1058
100000141;Luis;1srgio9ac2;9;4.1;1185
100000142;Valentina;kbPvPaKI4r;48;3.6;1172,1007,1084
100000143;Luisa;trPtYHylK3;31;4.7;1090,1035,1026
100000144;Andres;XTEGTqh0q3;38;4.1;1049
100000145;Laura;PuwjAE8jkh;53;2.8;1243,1191
100000146;Maria;K2CRHJhAUN;48;1.3;1053
100000147;Esteban;AKJNfZq1hb;29;3.5;1112,1170
100000148;Daniela;PYtLd4tFZn;45;2.2;1087,1126
100000149;Andres;ddfGdAochk;28;3.2;1017,1115,1237
100000150;Camilo;uBq394JlTk;48;0.6;1215,1019,1173
100000151;Andres;b7gNr1elyc;33;1.3;1130,1191
100000152;Jorge;8fgErApQub;57;0.2;1226,1071
100000153;Andres;PDUiaq6Lyj;49;3.1;1106
100000154;Diego;lAlKhkjQfo;18;1.2;1130,1152
100000155;Maria;4qshWQfdHP;30;0.7;1127,1060
100000156;Paula;7RTH5g0aI7;55;0.6;1131
100000157;Laura;45piUb6dGl;16;4.1;1146
100000158;Laura;rKGDGW3Bqt;43;0.5;1093,1097,1114
100000159;Maria;hiPXh1gfJG;15;4.1;1087,1111
100000160;Jorge;LvSZQzxyg6;7;2.1;1217
100000161;Felipe;9JDN3O9701;57;2.3;1184,1054
100000162;Ana;Q10DC3LSRQ;58;4.9;1148
100000163;Carlos;KILSaX9KK2;47;3.4;1138
100000164;Sofia;oON4WJK7kn;54;3.1;1024
100000165;Ana;fEZhhrYCqF;15;4.3;1088
100000166;Juan;12dv7cxJ2Y;30;2.9;1000
100000167;Laura;ZrRmnhK0MT;21;0.1;1215,1016
100000168;Natalia;Jn0X7EKCjP;60;1.9;1025
100000169;Luisa;Ee9eb8tTOh;56;2.0;1035
100000170;Juan;lr6lbhzFvh;17;3.5;1009
100000171;Maria;U1Q3VfxA55;54;3.4;1122,1229
100000172;Juan;vEUmAacxdt;38;1.4;1028
100000173;Juan;5FlkcRxSgp;46;1.8;1154
100000174;Jorge;bKOFIwAz63;29;4.0;1090
100000175;Sofia;xEffjBIqKr;27;2.5;1003,1230,1078
100000176;Luis;vFZVS7xPO2;35;0.9;1158,1180
100000177;Valentina;1MuILX3spZ;3;2.0;1193
100000178;Valentina;WQqOanrDev;36;3.3;1029
100000179;Maria;qeokmwDR5T;21;0.6;1222,1203,1176
100000180;Andres;HFzBP2dXj7;7;2.3;1134,1172
100000181;Sebastian;4IxYywHjyh;51;0.3;1046,1069,1190
100000182;Luis;AHp246Zp5H;22;1.6;1207,1211
100000183;Jorge;NfNW0lOiLy;56;4.2;1152,1130,1059
100000184;Daniela;hhoi0jX4CU;24;2.5;1118,1069,1068
100000185;Esteban;IF5K8Tb9sR;44;1.4;1214,1167,1066
100000186;Laura;do26mfAugX;12;3.7;1032,1196
100000187;Daniela;hHIav5KPSU;47;2.4;1101,1049
100000188;Maria;iwZwQWE5VT;56;1.9;1226
100000189;Luis;XwVSTxiSvd;39;1.3;1046
100000190;Paula;Adl2DQXJk1;38;4.7;1239,1084,1236
100000191;Valentina;Rt1R72aM0v;45;3.2;1101
100000192;Maria;inxRk3d4gV;34;3.2;1012,1196,1133
100000193;Esteban;R7crTED0KG;53;4.5;1107
100000194;Carlos;07i6ne172e;24;0.9;1176
100000195;Carlos;3VtdCPEYvi;18;3.9;1083,1091,1144
100000196;Juan;wuawQbAokt;45;4.4;1177,1222
100000197;Valentina;3I8WdMUxbl;43;4.1;1124
100000198;Valentina;MxtNJaCS7v;15;2.4;1099,1119,1222
100000199;Sebastian;6eUjgXdBhm;15;2.6;1089,1244
