codigo_reserva;cedula_huesped;id_alojamiento;fecha_pago;metodo_pago;fecha_inicio;fecha_fin;pregunta_cliente
RSV0053;200000172;1164;11/05/2025;PSE;12/05/2025;15/05/2025;Hay vigilancia?
RSV0054;200000218;1037;25/05/2025;PSE;27/05/2025;29/05/2025;Tiene cocina?
RSV0055;200000095;1127;04/05/2025;TCredito;05/05/2025;07/05/2025;Es zona segura?
RSV0056;200000245;1246;24/05/2025;TCredito;25/05/2025;29/05/2025;Tiene parqueadero?
RSV0057;200000060;1218;25/05/2025;TCredito;26/05/2025;30/05/2025;Puedo llevar mascota?
RSV0058;200000077;1090;07/05/2025;PSE;08/05/2025;11/05/2025;Hay vigilancia?
RSV0059;200000020;1248;25/05/2025;PSE;28/05/2025;30/05/2025;Es zona segura?
RSV0060;200000054;1125;22/05/2025;PSE;24/05/2025;26/05/2025;Tiene cocina?
RSV0061;200000181;1068;17/05/2025;PSE;18/05/2025;21/05/2025;Hay vigilancia?
RSV0062;200000029;1114;19/05/2025;PSE;22/05/2025;24/05/2025;Esta cerca del metro?
RSV0063;200000221;1168;15/05/2025;PSE;18/05/2025;20/05/2025;Esta cerca del metro?
RSV0064;200000123;1149;28/05/2025;TCredito;30/05/2025;03/06/2025;Hay vigilancia?
RSV0065;200000040;1048;23/05/2025;TCredito;25/05/2025;29/05/2025;Tiene parqueadero?
RSV0066;200000109;1210;11/05/2025;PSE;12/05/2025;15/05/2025;Hay aire acondicionado?
RSV0067;200000053;1223;13/05/2025;PSE;15/05/2025;19/05/2025;Incluye desayuno?
RSV0068;200000216;1215;14/05/2025;TCredito;17/05/2025;19/05/2025;Incluye desayuno?
RSV0069;200000093;1144;27/05/2025;TCredito;28/05/2025;29/05/2025;Incluye desayuno?
RSV0070;200000022;1023;08/05/2025;TCredito;11/05/2025;12/05/2025;Es zona segura?
RSV0071;200000081;1124;18/05/2025;TCredito;19/05/2025;20/05/2025;Tiene wifi?
RSV0072;200000014;1140;30/05/2025;PSE;31/05/2025;04/06/2025;Esta cerca del metro?
RSV0073;200000155;1027;02/05/2025;PSE;04/05/2025;05/05/2025;Esta cerca del metro?
RSV0074;200000243;1191;10/05/2025;TCredito;12/05/2025;14/05/2025;Hay aire acondicionado?
RSV0075;200000062;1141;16/05/2025;PSE;18/05/2025;20/05/2025;Es zona segura?
RSV0076;200000244;1032;29/04/2025;PSE;01/05/2025;02/05/2025;Tiene cocina?
RSV0077;200000188;1142;24/05/2025;PSE;27/05/2025;31/05/2025;Tiene wifi?
RSV0078;200000047;1025;10/05/2025;PSE;11/05/2025;13/05/2025;Incluye desayuno?
RSV0079;200000016;1042;23/05/2025;PSE;25/05/2025;26/05/2025;Puedo llevar mascota?
RSV0080;200000061;1193;16/05/2025;TCredito;19/05/2025;21/05/2025;Tiene wifi?
RSV0081;200000015;1087;22/05/2025;PSE;24/05/2025;25/05/2025;Hay vigilancia?
RSV0082;200000073;1013;12/05/2025;TCredito;14/05/2025;16/05/2025;Tiene wifi?
RSV0083;200000079;1047;02/05/2025;TCredito;03/05/2025;07/05/2025;Hay vigilancia?
RSV0084;200000060;1001;09/05/2025;PSE;10/05/2025;11/05/2025;Hay aire acondicionado?
RSV0085;200000033;1196;17/05/2025;TCredito;20/05/2025;24/05/2025;Es zona segura?
RSV0086;200000121;1181;01/05/2025;PSE;03/05/2025;06/05/2025;Se permite fumar?
RSV0087;200000172;1146;08/05/2025;PSE;10/05/2025;12/05/2025;Tiene cocina?
RSV0088;200000191;1203;24/05/2025;TCredito;25/05/2025;28/05/2025;Tiene parqueadero?
RSV0089;200000103;1012;23/05/2025;TCredito;24/05/2025;27/05/2025;Tiene wifi?
RSV0090;200000055;1206;25/05/2025;TCredito;27/05/2025;31/05/2025;Es zona segura?
RSV0091;200000149;1069;22/05/2025;PSE;24/05/2025;26/05/2025;Puedo llevar mascota?
RSV0092;200000012;1064;27/05/2025;TCredito;30/05/2025;31/05/2025;Hay aire acondicionado?
RSV0093;200000095;1061;12/05/2025;TCredito;14/05/2025;17/05/2025;Hay vigilancia?
RSV0094;200000185;1230;30/04/2025;PSE;01/05/2025;05/05/2025;Tiene cocina?
RSV0095;200000228;1050;15/05/2025;TCredito;18/05/2025;22/05/2025;Puedo llevar mascota?
RSV0096;200000146;1035;27/05/2025;TCredito;28/05/2025;01/06/2025;Hay aire acondicionado?
RSV0097;200000147;1131;13/05/2025;PSE;16/05/2025;19/05/2025;Hay vigilancia?
RSV0098;200000120;1116;20/05/2025;PSE;21/05/2025;24/05/2025;Hay vigilancia?
RSV0099;200000195;1018;13/05/2025;PSE;15/05/2025;19/05/2025;Esta cerca del metro?
RSV0100;200000026;1200;26/05/2025;PSE;29/05/2025;30/05/2025;Es zona segura?
RSV0101;200000019;1109;01/05/2025;TCredito;02/05/2025;05/05/2025;Tiene cocina?
RSV0102;200000073;1233;21/05/2025;TCredito;24/05/2025;25/05/2025;Se permite fumar?
RSV0103;200000028;1022;21/05/2025;TCredito;22/05/2025;23/05/2025;Tiene parqueadero?
RSV0104;200000179;1169;24/05/2025;TCredito;26/05/2025;30/05/2025;Tiene cocina?
RSV0105;200000045;1026;12/05/2025;PSE;13/05/2025;14/05/2025;Tiene cocina?
RSV0106;200000143;1188;04/05/2025;TCredito;05/05/2025;09/05/2025;Tiene parqueadero?
RSV0107;200000192;1091;07/05/2025;PSE;10/05/2025;12/05/2025;Tiene cocina?
RSV0108;200000173;1187;27/05/2025;PSE;28/05/2025;29/05/2025;Hay vigilancia?
RSV0109;200000147;1079;02/05/2025;PSE;05/05/2025;07/05/2025;Hay vigilancia?
RSV0110;200000149;1231;06/05/2025;TCredito;08/05/2025;11/05/2025;Es zona segura?
RSV0111;200000134;1205;12/05/2025;PSE;14/05/2025;18/05/2025;Tiene cocina?
RSV0112;200000166;1046;27/05/2025;TCredito;30/05/2025;31/05/2025;Hay aire acondicionado?
RSV0113;200000183;1163;11/05/2025;PSE;12/05/2025;15/05/2025;Tiene wifi?
RSV0114;200000231;1204;18/05/2025;TCredito;21/05/2025;24/05/2025;Hay aire acondicionado?
RSV0115;200000200;1111;11/05/2025;TCredito;12/05/2025;13/05/2025;Tiene parqueadero?
RSV0116;200000192;1232;19/05/2025;TCredito;22/05/2025;26/05/2025;Hay vigilancia?
RSV0117;200000169;1076;27/05/2025;PSE;30/05/2025;03/06/2025;Tiene wifi?
RSV0118;200000015;1104;21/05/2025;TCredito;22/05/2025;24/05/2025;Puedo llevar mascota?
RSV0119;200000233;1219;25/05/2025;PSE;26/05/2025;30/05/2025;Se permite fumar?
RSV0120;200000225;1176;25/05/2025;PSE;28/05/2025;29/05/2025;Se permite fumar?
RSV0121;200000100;1080;15/05/2025;PSE;18/05/2025;19/05/2025;Hay aire acondicionado?
RSV0122;200000009;1221;22/05/2025;PSE;25/05/2025;27/05/2025;Se permite fumar?
RSV0123;200000041;1110;08/05/2025;PSE;10/05/2025;14/05/2025;Esta cerca del metro?
RSV0124;200000100;1093;10/05/2025;PSE;13/05/2025;14/05/2025;Es zona segura?
RSV0125;200000237;1101;25/05/2025;PSE;28/05/2025;31/05/2025;Tiene parqueadero?
RSV0126;200000073;1028;24/05/2025;TCredito;27/05/2025;29/05/2025;Esta cerca del metro?
RSV0127;200000218;1175;17/05/2025;TCredito;19/05/2025;23/05/2025;Hay aire acondicionado?
RSV0128;200000220;1073;02/05/2025;TCredito;05/05/2025;09/05/2025;Esta cerca del metro?
RSV0129;200000023;1081;30/04/2025;PSE;01/05/2025;02/05/2025;Se permite fumar?
RSV0130;200000118;1059;20/05/2025;PSE;23/05/2025;26/05/2025;Esta cerca del metro?
RSV0131;200000039;1065;04/05/2025;TCredito;05/05/2025;07/05/2025;Hay vigilancia?
RSV0132;200000159;1147;19/05/2025;PSE;20/05/2025;21/05/2025;Es zona segura?
RSV0133;200000019;1189;13/05/2025;PSE;14/05/2025;15/05/2025;Tiene parqueadero?
RSV0134;200000203;1036;20/05/2025;TCredito;21/05/2025;24/05/2025;Es zona segura?
RSV0135;200000148;1066;05/05/2025;TCredito;06/05/2025;10/05/2025;Se permite fumar?
RSV0136;200000247;1099;14/05/2025;TCredito;17/05/2025;18/05/2025;Se permite fumar?
RSV0137;200000247;1129;23/05/2025;PSE;26/05/2025;30/05/2025;Incluye desayuno?
RSV0138;200000182;1118;18/05/2025;TCredito;19/05/2025;20/05/2025;Incluye desayuno?
RSV0139;200000191;1143;16/05/2025;PSE;19/05/2025;22/05/2025;Tiene parqueadero?
RSV0140;200000142;1197;29/04/2025;TCredito;01/05/2025;02/05/2025;Tiene wifi?
RSV0141;200000106;1236;26/05/2025;TCredito;28/05/2025;30/05/2025;Esta cerca del metro?
RSV0142;200000140;1120;23/05/2025;PSE;24/05/2025;25/05/2025;Puedo llevar mascota?
RSV0143;200000037;1178;23/05/2025;PSE;24/05/2025;25/05/2025;Es zona segura?
RSV0144;200000061;1070;29/04/2025;PSE;02/05/2025;04/05/2025;Incluye desayuno?
RSV0145;200000248;1088;01/05/2025;PSE;04/05/2025;07/05/2025;Tiene wifi?
RSV0146;200000239;1202;08/05/2025;TCredito;09/05/2025;12/05/2025;Puedo llevar mascota?
RSV0147;200000092;1165;16/05/2025;PSE;18/05/2025;21/05/2025;Tiene parqueadero?
RSV0148;200000036;1049;08/05/2025;TCredito;10/05/2025;12/05/2025;Hay aire acondicionado?
RSV0149;200000123;1115;23/05/2025;PSE;25/05/2025;27/05/2025;Esta cerca del metro?
RSV0150;200000066;1082;24/05/2025;PSE;27/05/2025;29/05/2025;Incluye desayuno?
RSV0151;200000213;1039;05/05/2025;TCredito;08/05/2025;12/05/2025;Tiene cocina?
RSV0152;200000068;1062;26/05/2025;PSE;28/05/2025;30/05/2025;Hay aire acondicionado?
RSV0153;200000043;1067;25/05/2025;PSE;26/05/2025;28/05/2025;Esta cerca del metro?
RSV0154;200000156;1156;24/05/2025;PSE;25/05/2025;28/05/2025;Hay aire acondicionado?
RSV0155;200000048;1249;10/05/2025;PSE;13/05/2025;17/05/2025;Tiene parqueadero?
RSV0156;200000244;1112;29/05/2025;TCredito;31/05/2025;01/06/2025;Esta cerca del metro?
RSV0157;200000192;1078;13/05/2025;TCredito;15/05/2025;18/05/2025;Hay aire acondicionado?
RSV0158;200000223;1095;09/05/2025;TCredito;11/05/2025;13/05/2025;Es zona segura?
RSV0159;200000059;1103;16/05/2025;TCredito;17/05/2025;19/05/2025;Incluye desayuno?
RSV0160;200000069;1241;03/05/2025;TCredito;04/05/2025;08/05/2025;Tiene cocina?
RSV0161;200000050;1158;02/05/2025;TCredito;03/05/2025;06/05/2025;Tiene wifi?
RSV0162;200000072;1226;08/05/2025;TCredito;10/05/2025;14/05/2025;Incluye desayuno?
RSV0163;200000014;1238;04/05/2025;PSE;07/05/2025;10/05/2025;Tiene cocina?
RSV0164;200000212;1084;09/05/2025;TCredito;11/05/2025;15/05/2025;Tiene wifi?
RSV0165;200000139;1247;22/05/2025;PSE;23/05/2025;25/05/2025;Tiene parqueadero?
RSV0166;200000088;1190;25/05/2025;PSE;28/05/2025;31/05/2025;Esta cerca del metro?
RSV0167;200000016;1126;10/05/2025;TCredito;13/05/2025;16/05/2025;Tiene wifi?
RSV0168;200000025;1245;26/05/2025;PSE;27/05/2025;28/05/2025;Esta cerca del metro?
RSV0169;200000152;1154;04/05/2025;TCredito;07/05/2025;08/05/2025;Puedo llevar mascota?
RSV0170;200000056;1225;28/04/2025;PSE;01/05/2025;04/05/2025;Esta cerca del metro?
RSV0171;200000216;1208;25/05/2025;PSE;26/05/2025;30/05/2025;Esta cerca del metro?
RSV0172;200000139;1100;05/05/2025;TCredito;06/05/2025;10/05/2025;Hay vigilancia?
RSV0173;200000232;1044;13/05/2025;PSE;15/05/2025;18/05/2025;Tiene parqueadero?
RSV0174;200000238;1199;19/05/2025;TCredito;22/05/2025;24/05/2025;Puedo llevar mascota?
RSV0175;200000216;1234;06/05/2025;TCredito;07/05/2025;08/05/2025;Tiene wifi?
RSV0176;200000155;1186;18/05/2025;TCredito;19/05/2025;22/05/2025;Tiene wifi?
RSV0177;200000175;1220;28/04/2025;TCredito;01/05/2025;02/05/2025;Hay aire acondicionado?
RSV0178;200000074;1211;15/05/2025;TCredito;18/05/2025;22/05/2025;Hay vigilancia?
RSV0179;200000047;1029;21/05/2025;TCredito;24/05/2025;26/05/2025;Es zona segura?
RSV0180;200000163;1201;09/05/2025;TCredito;11/05/2025;15/05/2025;Incluye desayuno?
RSV0181;200000183;1123;20/05/2025;TCredito;22/05/2025;26/05/2025;Tiene wifi?
RSV0182;200000093;1207;17/05/2025;TCredito;19/05/2025;21/05/2025;Puedo llevar mascota?
RSV0183;200000109;1166;04/05/2025;PSE;05/05/2025;09/05/2025;Hay vigilancia?
RSV0184;200000040;1229;15/05/2025;TCredito;18/05/2025;22/05/2025;Es zona segura?
RSV0185;200000190;1019;06/05/2025;PSE;07/05/2025;11/05/2025;Hay aire acondicionado?
RSV0186;200000103;1170;30/04/2025;TCredito;01/05/2025;02/05/2025;Se permite fumar?
RSV0187;200000040;1002;20/05/2025;TCredito;21/05/2025;22/05/2025;Esta cerca del metro?
RSV0188;200000133;1122;18/05/2025;TCredito;19/05/2025;23/05/2025;Es zona segura?
RSV0189;200000061;1155;29/05/2025;PSE;30/05/2025;03/06/2025;Se permite fumar?
RSV0190;200000141;1004;12/05/2025;PSE;13/05/2025;15/05/2025;Hay vigilancia?
RSV0191;200000179;1136;17/05/2025;PSE;18/05/2025;20/05/2025;Incluye desayuno?
RSV0192;200000096;1214;15/05/2025;TCredito;17/05/2025;21/05/2025;Se permite fumar?
RSV0193;200000129;1150;04/05/2025;TCredito;07/05/2025;10/05/2025;Esta cerca del metro?
RSV0194;200000003;1157;30/05/2025;TCredito;31/05/2025;04/06/2025;Tiene wifi?
RSV0195;200000025;1063;06/05/2025;PSE;07/05/2025;08/05/2025;Puedo llevar mascota?
RSV0196;200000096;1224;05/05/2025;PSE;08/05/2025;10/05/2025;Es zona segura?
RSV0197;200000243;1173;15/05/2025;TCredito;16/05/2025;18/05/2025;Incluye desayuno?
RSV0198;200000007;1058;29/05/2025;TCredito;31/05/2025;03/06/2025;Tiene parqueadero?
RSV0199;200000116;1240;28/04/2025;TCredito;01/05/2025;05/05/2025;Esta cerca del metro?
RSV0200;200000062;1016;29/04/2025;TCredito;02/05/2025;03/05/2025;Hay aire acondicionado?
RSV0201;200000187;1085;13/05/2025;PSE;15/05/2025;16/05/2025;Incluye desayuno?
RSV0202;200000072;1171;11/05/2025;TCredito;12/05/2025;13/05/2025;Tiene wifi?
RSV0203;200000054;1183;28/05/2025;PSE;31/05/2025;01/06/2025;Hay aire acondicionado?
RSV0204;200000188;1098;15/05/2025;TCredito;18/05/2025;19/05/2025;Esta cerca del metro?
RSV0205;200000195;1031;04/05/2025;TCredito;05/05/2025;07/05/2025;Tiene wifi?
RSV0206;200000159;1167;03/05/2025;TCredito;06/05/2025;10/05/2025;Se permite fumar?
RSV0207;200000229;1008;18/05/2025;PSE;19/05/2025;20/05/2025;Puedo llevar mascota?
RSV0208;200000219;1160;11/05/2025;TCredito;12/05/2025;15/05/2025;Tiene parqueadero?
RSV0209;200000230;1195;01/05/2025;TCredito;02/05/2025;06/05/2025;Incluye desayuno?
RSV0210;200000232;1094;11/05/2025;PSE;13/05/2025;15/05/2025;Tiene wifi?
RSV0211;200000029;1174;12/05/2025;PSE;15/05/2025;19/05/2025;Incluye desayuno?
RSV0212;200000021;1130;06/05/2025;TCredito;07/05/2025;09/05/2025;Tiene cocina?
RSV0213;200000142;1180;09/05/2025;TCredito;10/05/2025;13/05/2025;Tiene cocina?
RSV0214;200000178;1243;01/05/2025;PSE;02/05/2025;04/05/2025;Esta cerca del metro?
RSV0215;200000149;1113;28/04/2025;TCredito;01/05/2025;05/05/2025;Incluye desayuno?
RSV0216;200000119;1056;02/05/2025;PSE;03/05/2025;07/05/2025;Es zona segura?
RSV0217;200000005;1128;23/05/2025;TCredito;26/05/2025;29/05/2025;Incluye desayuno?
RSV0218;200000192;1074;07/05/2025;TCredito;09/05/2025;12/05/2025;Tiene wifi?
RSV0219;200000124;1060;12/05/2025;TCredito;14/05/2025;15/05/2025;Tiene cocina?
RSV0220;200000224;1135;21/05/2025;PSE;22/05/2025;23/05/2025;Tiene parqueadero?
RSV0221;200000190;1192;09/05/2025;TCredito;11/05/2025;12/05/2025;Tiene parqueadero?
RSV0222;200000081;1179;17/05/2025;PSE;18/05/2025;19/05/2025;Tiene cocina?
RSV0223;200000011;1117;30/05/2025;PSE;31/05/2025;02/06/2025;Hay aire acondicionado?
RSV0224;200000022;1083;10/05/2025;TCredito;12/05/2025;13/05/2025;Incluye desayuno?
RSV0225;200000140;1237;19/05/2025;TCredito;21/05/2025;22/05/2025;Puedo llevar mascota?
RSV0226;200000037;1137;02/05/2025;PSE;04/05/2025;07/05/2025;Se permite fumar?
RSV0227;200000249;1038;11/05/2025;TCredito;12/05/2025;13/05/2025;Hay aire acondicionado?
RSV0228;200000152;1057;30/04/2025;TCredito;01/05/2025;02/05/2025;Tiene parqueadero?
RSV0229;200000061;1000;01/05/2025;TCredito;04/05/2025;08/05/2025;Incluye desayuno?
RSV0230;200000242;1055;23/05/2025;TCredito;25/05/2025;29/05/2025;Tiene cocina?
RSV0231;200000107;1119;16/05/2025;TCredito;17/05/2025;18/05/2025;Hay vigilancia?
RSV0232;200000072;1209;09/05/2025;TCredito;10/05/2025;13/05/2025;Hay vigilancia?
RSV0233;200000219;1015;25/05/2025;TCredito;28/05/2025;30/05/2025;Se permite fumar?
RSV0234;200000046;1045;28/05/2025;PSE;29/05/2025;02/06/2025;Tiene parqueadero?
RSV0235;200000126;1053;27/05/2025;TCredito;29/05/2025;30/05/2025;Hay vigilancia?
RSV0236;200000111;1217;28/04/2025;TCredito;01/05/2025;03/05/2025;Incluye desayuno?
RSV0237;200000026;1133;08/05/2025;PSE;09/05/2025;10/05/2025;Tiene parqueadero?
RSV0238;200000027;1228;10/05/2025;PSE;12/05/2025;16/05/2025;Tiene wifi?
RSV0239;200000054;1096;08/05/2025;TCredito;09/05/2025;12/05/2025;Es zona segura?
RSV0240;200000212;1092;07/05/2025;TCredito;10/05/2025;12/05/2025;Esta cerca del metro?
RSV0241;200000016;1014;30/04/2025;PSE;01/05/2025;05/05/2025;Hay aire acondicionado?
RSV0242;200000091;1006;26/05/2025;TCredito;28/05/2025;01/06/2025;Hay aire acondicionado?
RSV0243;200000039;1213;07/05/2025;PSE;09/05/2025;12/05/2025;Puedo llevar mascota?
RSV0244;200000214;1162;02/05/2025;TCredito;04/05/2025;08/05/2025;Tiene cocina?
RSV0245;200000237;1244;22/05/2025;PSE;25/05/2025;29/05/2025;Incluye desayuno?
RSV0246;200000147;1030;27/05/2025;PSE;30/05/2025;02/06/2025;Tiene parqueadero?
RSV0247;200000213;1017;25/05/2025;TCredito;27/05/2025;28/05/2025;Incluye desayuno?
RSV0248;200000097;1041;12/05/2025;PSE;15/05/2025;19/05/2025;Hay aire acondicionado?
RSV0249;200000070;1009;17/05/2025;TCredito;18/05/2025;20/05/2025;Se permite fumar?
RSV0250;200000089;1198;30/04/2025;PSE;02/05/2025;03/05/2025;Tiene parqueadero?
RSV0251;200000029;1169;03/07/2025;PSE;05/07/2025;09/07/2025;Hay aire acondicionado?
RSV0252;200000205;1175;11/07/2025;TCredito;12/07/2025;13/07/2025;Es zona segura?
RSV0253;200000249;1236;28/07/2025;TCredito;29/07/2025;03/08/2025;Tiene wifi?
RSV0254;200000179;1138;10/05/2025;TCredito;11/05/2025;16/05/2025;Es zona segura?
RSV0255;200000060;1089;10/07/2025;PSE;11/07/2025;15/07/2025;Tiene cocina?
RSV0256;200000123;1151;09/07/2025;PSE;11/07/2025;16/07/2025;Tiene parqueadero?
RSV0257;200000065;1166;08/06/2025;TCredito;12/06/2025;14/06/2025;Se permite fumar?
RSV0258;200000115;1030;13/07/2025;PSE;17/07/2025;21/07/2025;Tiene cocina?
RSV0259;200000182;1131;28/04/2025;PSE;02/05/2025;06/05/2025;Puedo llevar mascota?
RSV0260;200000224;1084;20/05/2025;TCredito;23/05/2025;25/05/2025;Incluye desayuno?
RSV0261;200000018;1217;30/06/2025;PSE;03/07/2025;04/07/2025;Es zona segura?
RSV0262;200000089;1089;26/06/2025;PSE;29/06/2025;04/07/2025;Tiene wifi?
RSV0263;200000079;1239;25/05/2025;TCredito;28/05/2025;29/05/2025;Es zona segura?
RSV0264;200000186;1054;29/04/2025;PSE;02/05/2025;06/05/2025;Hay aire acondicionado?
RSV0265;200000013;1054;15/07/2025;TCredito;19/07/2025;21/07/2025;Esta cerca del metro?
RSV0266;200000081;1045;13/07/2025;PSE;15/07/2025;20/07/2025;Tiene cocina?
RSV0267;200000066;1177;18/07/2025;TCredito;23/07/2025;28/07/2025;Hay vigilancia?
RSV0268;200000032;1192;25/06/2025;PSE;28/06/2025;02/07/2025;Se permite fumar?
RSV0269;200000168;1199;21/07/2025;PSE;25/07/2025;27/07/2025;Incluye desayuno?
RSV0270;200000155;1115;17/06/2025;TCredito;22/06/2025;24/06/2025;Se permite fumar?
RSV0271;200000053;1162;17/07/2025;PSE;19/07/2025;21/07/2025;Esta cerca del metro?
RSV0272;200000216;1056;02/07/2025;PSE;05/07/2025;06/07/2025;Es zona segura?
RSV0273;200000067;1062;05/06/2025;TCredito;08/06/2025;12/06/2025;Hay vigilancia?
RSV0274;200000197;1097;04/07/2025;PSE;07/07/2025;11/07/2025;Tiene cocina?
RSV0275;200000047;1065;08/06/2025;TCredito;12/06/2025;17/06/2025;Es zona segura?
RSV0276;200000095;1240;27/06/2025;TCredito;02/07/2025;03/07/2025;Hay vigilancia?
RSV0277;200000131;1036;09/06/2025;TCredito;10/06/2025;13/06/2025;Puedo llevar mascota?
RSV0278;200000151;1139;01/07/2025;PSE;04/07/2025;08/07/2025;Tiene parqueadero?
RSV0279;200000192;1078;10/06/2025;PSE;15/06/2025;17/06/2025;Hay aire acondicionado?
RSV0280;200000002;1178;19/05/2025;TCredito;23/05/2025;24/05/2025;Tiene cocina?
RSV0281;200000184;1215;01/07/2025;TCredito;03/07/2025;06/07/2025;Tiene wifi?
RSV0282;200000063;1156;17/06/2025;TCredito;21/06/2025;25/06/2025;Esta cerca del metro?
RSV0283;200000057;1148;26/07/2025;PSE;30/07/2025;04/08/2025;Incluye desayuno?
RSV0284;200000209;1050;31/05/2025;PSE;02/06/2025;07/06/2025;Tiene parqueadero?
RSV0285;200000113;1029;24/05/2025;TCredito;27/05/2025;31/05/2025;Es zona segura?
